station_name,line,latitude,longitude,status,opening_date,confidence,review_note,osm_id
Andheri Metro,Metro Line 1,19.1197,72.8464,operational,2014-06-08,high,,node/213030669... see Andheri
Ghatkopar Metro,Metro Line 1,19.0867,72.9081,operational,2014-06-08,high,,way/151205149
Western Express Highway,Metro Line 1,19.1159,72.8564,operational,2014-06-08,high,,way/331815671
Chakala - J.B. Nagar,Metro Line 1,19.112,72.8676,operational,2014-06-08,high,Within Andheri East.,way/331824153
Airport Road,Metro Line 1,19.1101,72.8742,operational,2014-06-08,high,Within Andheri East.,way/311841874
Marol Naka (Line 1),Metro Line 1,19.1082,72.8795,operational,2014-06-08,high,Within Andheri East.,way/311841876
Saki Naka,Metro Line 1,19.1035,72.888,operational,2014-06-08,high,,way/331824155
Asalpha,Metro Line 1,19.0964,72.8949,operational,2014-06-08,high,,way/331827626
Jagruti Nagar,Metro Line 1,19.0926,72.9019,operational,2014-06-08,high,,way/311841875
Gundavali,Metro Line 7,19.1145,72.8552,operational,,FLAG,Line 7 opened in phases in 2019; exact opening date for this terminus station not independently verified — please confirm.,node/10576622687
SEEPZ (Line 3),Metro Line 3,19.126,72.8737,operational,,FLAG,Line 3 opened in phases (Aarey-BKC ~Oct 2024 per public reporting at training time); whether this station and the full line are operational as of the scrape date needs confirmation — current date is past model knowledge cutoff.,node/5787704195
MIDC - Andheri,Metro Line 3,19.1174,72.8736,operational,,FLAG,Same Line 3 phasing caveat as SEEPZ (Line 3).,node/5787704196
Marol Naka (Line 3),Metro Line 3,19.1085,72.8786,operational,,FLAG,Same Line 3 phasing caveat as SEEPZ (Line 3).,node/5787704197
Sahar Road,Metro Line 3,19.1022,72.8652,operational,,FLAG,Same Line 3 phasing caveat as SEEPZ (Line 3).,node/12074909132
Vikhroli,Central Railway,19.1115,72.928,operational,,medium,"Central Line corridor opened 1854-04-16 (Bombay-Thane, first passenger train in India); exact date this individual station was added not verified.",node/4258411797
Kanjur Marg,Central Railway,19.1287,72.928,operational,,medium,Same Central Railway dating caveat as Vikhroli.,node/619992025
Bhandup,Central Railway,19.1428,72.9377,operational,,medium,Same Central Railway dating caveat as Vikhroli.,node/3248305759
Nahur,Central Railway,19.1546,72.9467,operational,,medium,Same Central Railway dating caveat as Vikhroli.,node/2629791007
Mulund,Central Railway,19.1721,72.9567,operational,,medium,Same Central Railway dating caveat as Vikhroli.,node/1643351703
Jogeshwari (Western Line),Western Railway,19.1361,72.8489,operational,,medium,Western Line corridor opened 1867; exact date this individual station was added not verified.,node/12189363305
Powai Lake Station,Metro Line 6,19.12,72.906,under_construction,,FLAG,No confirmed opening date in source; please supply target date if known (README references Line 6 / Powai Lake Metro at 2026-03-31 in the synthetic model — confirm if that still applies to the real station).,node/5219519239
Powai Udyan Station,Metro Line 6,19.1216,72.899,under_construction,,FLAG,No confirmed opening date in source.,node/9132708011
IIT Powai Station,Metro Line 6,19.1242,72.9137,under_construction,,FLAG,No confirmed opening date in source.,node/9132708012
Saki Vihar Road Station,Metro Line 6,19.1262,72.8905,under_construction,,FLAG,No confirmed opening date in source.,node/5219518819
SEEPZ Station (Line 6),Metro Line 6,19.1294,72.8826,under_construction,,FLAG,Name collides with the operational Line 1/3 SEEPZ stations ~1km away — OSM tags this as a separate Line 6 construction node; please confirm this is not a duplicate/mistag before treating it as a distinct station.,node/5219518806
Mahakali Caves Station,Metro Line 6,19.1335,72.8747,under_construction,,FLAG,No confirmed opening date in source.,node/5219518799
Adarsh Nagar Station,Metro Line 6,19.1418,72.8336,under_construction,,FLAG,"No confirmed opening date in source; western end of Line 6, far from Powai core — low impact on Powai nearest-station distances.",node/5219518752
Lokhandwala Station,Metro Line 6,19.1407,72.8272,under_construction,,FLAG,"No confirmed opening date in source; western end of Line 6, far from Powai core — low impact on Powai nearest-station distances.",node/5219518747
Swami Samarth Nagar Station,Metro Line 6,19.1437,72.8197,under_construction,,FLAG,"No confirmed opening date in source; western terminus of Line 6, far from Powai core — low impact on Powai nearest-station distances.",node/5219518738
Vikhroli Station (Line 6/4 interchange),Metro Line 6,19.1247,72.9365,under_construction,,FLAG,OSM places this as the shared Line 6 / Line 4 interchange construction node at Vikhroli; please confirm interchange status.,node/5219519273
Kanjurmarg Station (Line 4),Metro Line 4,19.1254,72.9253,under_construction,,FLAG,No confirmed opening date in source.,node/5225899386
Naval Housing Station,Metro Line 4,19.1329,72.9277,under_construction,,FLAG,No confirmed opening date in source.,node/5225899381
Bhandup Mahapalika Station,Metro Line 4,19.1388,72.9308,under_construction,,FLAG,No confirmed opening date in source.,node/5225899378
Mulund Fire Station Metro,Metro Line 4,19.1757,72.9425,under_construction,,FLAG,No confirmed opening date in source. README's synthetic model cites Bhandup Metro (Line 4) target 2026-09-30 — confirm if that applies to this or a different Line 4 station near Mulund.,node/9126268646
Sonapur Station,Metro Line 4,19.1662,72.9384,under_construction,,FLAG,No confirmed opening date in source.,node/9126268645
Mulund Check Naka Station,Metro Line 4,19.1834,72.9508,under_construction,,FLAG,No confirmed opening date in source.,node/5225899340
Teen Hath Naka Station,Metro Line 4,19.1871,72.9616,under_construction,,medium,Line attribution confirmed via OSM network='Line 4' tag; opening date not confirmed.,node/9121318237
